---,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
CPP_BaseAttributeSet.HP,3000,0,1,,FALSE
CPP_BaseAttributeSet.MaxHP,3000,0,1,,FALSE
CPP_BaseAttributeSet.MP,300,0,1,,FALSE
CPP_BaseAttributeSet.MaxMP,300,0,1,,FALSE
CPP_BaseAttributeSet.SP,250,0,1,,FALSE
CPP_BaseAttributeSet.MaxSP,250,0,1,,FALSE
CPP_BaseAttributeSet.HR,50,0,1,,FALSE
CPP_BaseAttributeSet.MR,10,0,1,,FALSE
CPP_BaseAttributeSet.ATK,120,0,1,,FALSE
CPP_BaseAttributeSet.MAG,50,0,1,,FALSE
CPP_BaseAttributeSet.ATKspeed,0.7,0,1,,FALSE
CPP_BaseAttributeSet.MAGspeed,10,0,1,,FALSE
CPP_BaseAttributeSet.ATKsuck,30,0,1,,FALSE
CPP_BaseAttributeSet.MAGsuck,20,0,1,,FALSE
CPP_BaseAttributeSet.DEF,75,0,1,,FALSE
CPP_BaseAttributeSet.MDEF,75,0,1,,FALSE
CPP_BaseAttributeSet.DEFdecay,0,0,1,,FALSE
CPP_BaseAttributeSet.MDEFdecay,0,0,1,,FALSE
CPP_BaseAttributeSet.DEFpenetrate,0,0,1,,FALSE
CPP_BaseAttributeSet.MDEFpenetrate,0,0,1,,FALSE
CPP_BaseAttributeSet.CRT,20,0,1,,FALSE
CPP_BaseAttributeSet.CRTdam,70,0,1,,FALSE
CPP_BaseAttributeSet.Run,450,0,1,,FALSE
CPP_BaseAttributeSet.Tough,0,0,1,,FALSE
CPP_BaseAttributeSet.HRintense,100,0,1,,FALSE
CPP_BaseAttributeSet.extent,3,0,1,,FALSE
