---,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
CPP_BaseAttributeSet.HP,1000,0,1,,FALSE
CPP_BaseAttributeSet.MaxHP,1000,0,1,,FALSE
CPP_BaseAttributeSet.MP,800,0,1,,FALSE
CPP_BaseAttributeSet.MaxMP,800,0,1,,FALSE
CPP_BaseAttributeSet.SP,100,0,1,,FALSE
CPP_BaseAttributeSet.MaxSP,100,0,1,,FALSE
CPP_BaseAttributeSet.HR,20,0,1,,FALSE
CPP_BaseAttributeSet.MR,20,0,1,,FALSE
CPP_BaseAttributeSet.ATK,100,0,1,,FALSE
CPP_BaseAttributeSet.MAG,80,0,1,,FALSE
CPP_BaseAttributeSet.ATKspeed,1.4,0,1,,FALSE
CPP_BaseAttributeSet.MAGspeed,10,0,1,,FALSE
CPP_BaseAttributeSet.ATKsuck,20,0,1,,FALSE
CPP_BaseAttributeSet.MAGsuck,30,0,1,,FALSE
CPP_BaseAttributeSet.DEF,20,0,1,,FALSE
CPP_BaseAttributeSet.MDEF,30,0,1,,FALSE
CPP_BaseAttributeSet.DEFdecay,10,0,1,,FALSE
CPP_BaseAttributeSet.MDEFdecay,10,0,1,,FALSE
CPP_BaseAttributeSet.DEFpenetrate,10,0,1,,FALSE
CPP_BaseAttributeSet.MDEFpenetrate,15,0,1,,FALSE
CPP_BaseAttributeSet.CRT,20,0,1,,FALSE
CPP_BaseAttributeSet.CRTdam,60,0,1,,FALSE
CPP_BaseAttributeSet.Run,450,0,1,,FALSE
CPP_BaseAttributeSet.Tough,0,0,1,,FALSE
CPP_BaseAttributeSet.HRintense,100,0,1,,FALSE
CPP_BaseAttributeSet.extent,3,0,1,,FALSE
