---,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
CPP_BaseAttributeSet.HP,500,0,1,,FALSE
CPP_BaseAttributeSet.MaxHP,500,0,1,,FALSE
CPP_BaseAttributeSet.MP,0,0,1,,FALSE
CPP_BaseAttributeSet.MaxMP,0,0,1,,FALSE
CPP_BaseAttributeSet.SP,0,0,1,,FALSE
CPP_BaseAttributeSet.MaxSP,0,0,1,,FALSE
CPP_BaseAttributeSet.HR,0,0,1,,FALSE
CPP_BaseAttributeSet.MR,0,0,1,,FALSE
CPP_BaseAttributeSet.ATK,50,0,1,,FALSE
CPP_BaseAttributeSet.MAG,0,0,1,,FALSE
CPP_BaseAttributeSet.ATKspeed,1,0,1,,FALSE
CPP_BaseAttributeSet.MAGspeed,0,0,1,,FALSE
CPP_BaseAttributeSet.ATKsuck,0,0,1,,FALSE
CPP_BaseAttributeSet.MAGsuck,0,0,1,,FALSE
CPP_BaseAttributeSet.DEF,0,0,1,,FALSE
CPP_BaseAttributeSet.MDEF,0,0,1,,FALSE
CPP_BaseAttributeSet.DEFdecay,0,0,1,,FALSE
CPP_BaseAttributeSet.MDEFdecay,0,0,1,,FALSE
CPP_BaseAttributeSet.DEFpenetrate,0,0,1,,FALSE
CPP_BaseAttributeSet.MDEFpenetrate,0,0,1,,FALSE
CPP_BaseAttributeSet.CRT,0,0,1,,FALSE
CPP_BaseAttributeSet.CRTdam,0,0,1,,FALSE
CPP_BaseAttributeSet.Run,600,0,1,,FALSE
CPP_BaseAttributeSet.Tough,0,0,1,,FALSE
CPP_BaseAttributeSet.HRintense,0,0,1,,FALSE
CPP_BaseAttributeSet.extent,0,0,1,,FALSE
