---,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
CPP_BaseAttributeSet.HP,1000,0,1,,FALSE
CPP_BaseAttributeSet.MaxHP,1000,0,1,,FALSE
CPP_BaseAttributeSet.MP,500,0,1,,FALSE
CPP_BaseAttributeSet.MaxMP,500,0,1,,FALSE
CPP_BaseAttributeSet.SP,200,0,1,,FALSE
CPP_BaseAttributeSet.MaxSP,200,0,1,,FALSE
CPP_BaseAttributeSet.HR,20,0,1,,FALSE
CPP_BaseAttributeSet.MR,20,0,1,,FALSE
CPP_BaseAttributeSet.ATK,50,0,1,,FALSE
CPP_BaseAttributeSet.MAG,50,0,1,,FALSE
CPP_BaseAttributeSet.ATKspeed,1,0,1,,FALSE
CPP_BaseAttributeSet.MAGspeed,20,0,1,,FALSE
CPP_BaseAttributeSet.ATKsuck,10,0,1,,FALSE
CPP_BaseAttributeSet.MAGsuck,10,0,1,,FALSE
CPP_BaseAttributeSet.DEF,25,0,1,,FALSE
CPP_BaseAttributeSet.MDEF,25,0,1,,FALSE
CPP_BaseAttributeSet.DEFdecay,10,0,1,,FALSE
CPP_BaseAttributeSet.MDEFdecay,10,0,1,,FALSE
CPP_BaseAttributeSet.DEFpenetrate,10,0,1,,FALSE
CPP_BaseAttributeSet.MDEFpenetrate,10,0,1,,FALSE
CPP_BaseAttributeSet.CRT,20,0,1,,FALSE
CPP_BaseAttributeSet.CRTdam,50,0,1,,FALSE
CPP_BaseAttributeSet.Run,500,0,1,,FALSE
CPP_BaseAttributeSet.Tough,0,0,1,,FALSE
CPP_BaseAttributeSet.HRintense,100,0,1,,FALSE
CPP_BaseAttributeSet.Extent,1000,0,1,,FALSE
