英雄自身偏向,本方输出属性,本方防御属性,敌方输出属性,敌方防御属性,输出装推荐Tag
输出,物理伤害,护甲偏高,物理伤害,护甲偏高,穿透
输出,物理伤害,护甲偏高,物理伤害,魔抗偏高,物理
输出,物理伤害,护甲偏高,物理伤害,均衡,物理
输出,物理伤害,护甲偏高,魔法伤害,护甲偏高,穿透
输出,物理伤害,护甲偏高,魔法伤害,魔抗偏高,物理
输出,物理伤害,护甲偏高,魔法伤害,均衡,物理
输出,物理伤害,护甲偏高,真实伤害,护甲偏高,穿透
输出,物理伤害,护甲偏高,真实伤害,魔抗偏高,物理
输出,物理伤害,护甲偏高,真实伤害,均衡,物理
输出,物理伤害,魔抗偏高,物理伤害,护甲偏高,穿透
输出,物理伤害,魔抗偏高,物理伤害,魔抗偏高,物理
输出,物理伤害,魔抗偏高,物理伤害,均衡,物理
输出,物理伤害,魔抗偏高,魔法伤害,护甲偏高,穿透
输出,物理伤害,魔抗偏高,魔法伤害,魔抗偏高,物理
输出,物理伤害,魔抗偏高,魔法伤害,均衡,物理
输出,物理伤害,魔抗偏高,真实伤害,护甲偏高,穿透
输出,物理伤害,魔抗偏高,真实伤害,魔抗偏高,物理
输出,物理伤害,魔抗偏高,真实伤害,均衡,物理
输出,物理伤害,均衡,物理伤害,护甲偏高,物理
输出,物理伤害,均衡,物理伤害,魔抗偏高,物理
输出,物理伤害,均衡,物理伤害,均衡,物理
输出,物理伤害,均衡,魔法伤害,护甲偏高,物理
输出,物理伤害,均衡,魔法伤害,魔抗偏高,物理
输出,物理伤害,均衡,魔法伤害,均衡,物理
输出,物理伤害,均衡,真实伤害,护甲偏高,物理
输出,物理伤害,均衡,真实伤害,魔抗偏高,物理
输出,物理伤害,均衡,真实伤害,均衡,物理
输出,魔法伤害,护甲偏高,物理伤害,护甲偏高,法强
输出,魔法伤害,护甲偏高,物理伤害,魔抗偏高,穿透
输出,魔法伤害,护甲偏高,物理伤害,均衡,法强
输出,魔法伤害,护甲偏高,魔法伤害,护甲偏高,法强
输出,魔法伤害,护甲偏高,魔法伤害,魔抗偏高,穿透
输出,魔法伤害,护甲偏高,魔法伤害,均衡,法强
输出,魔法伤害,护甲偏高,真实伤害,护甲偏高,法强
输出,魔法伤害,护甲偏高,真实伤害,魔抗偏高,穿透
输出,魔法伤害,护甲偏高,真实伤害,均衡,法强
输出,魔法伤害,魔抗偏高,物理伤害,护甲偏高,法强
输出,魔法伤害,魔抗偏高,物理伤害,魔抗偏高,穿透
输出,魔法伤害,魔抗偏高,物理伤害,均衡,法强
输出,魔法伤害,魔抗偏高,魔法伤害,护甲偏高,法强
输出,魔法伤害,魔抗偏高,魔法伤害,魔抗偏高,穿透
输出,魔法伤害,魔抗偏高,魔法伤害,均衡,法强
输出,魔法伤害,魔抗偏高,真实伤害,护甲偏高,法强
输出,魔法伤害,魔抗偏高,真实伤害,魔抗偏高,穿透
输出,魔法伤害,魔抗偏高,真实伤害,均衡,法强
输出,魔法伤害,均衡,物理伤害,护甲偏高,法强
输出,魔法伤害,均衡,物理伤害,魔抗偏高,穿透
输出,魔法伤害,均衡,物理伤害,均衡,法强
